SMILES,SC-3,ATSp3,SP-1,ATSm5,khs.sCH3,SC-4,ATSp4,SP-2,SC-5,ATSp5,MDEN-11,SP-3,SC-6,khs.dsssP,MDEN-12,khs.dCH2,SP-4,khs.ssCH2,MDEN-13,SP-5,VP-0,VPC-4,SP-6,VP-1,MDEO-22,VPC-5,topoShape,VC-3,MDEC-11,SP-7,VPC-6,VC-4,MDEC-12,khs.dssC,khs.tCH,VP-2,VC-5,MDEC-13,VP-3,VAdjMat,VC-6,MDEC-14,VP-4,VP-5,khs.aasC,VP-6,MDEC-44,VP-7,Zagreb,khs.dNH,ATSc1,khs.ddsN,khs.sF,ATSc2,TopoPSA,khs.dO,SPC-4,ATSc3,MDEN-22,SPC-5,SCH-3,ATSc4,khs.ssssC,MDEN-23,khs.sBr,C3SP2,SPC-6,SCH-4,ATSc5,C3SP3,WPATH,SCH-5,khs.dsN,khs.dS,khs.dsCH,khs.ssNH,ECCEN,C4SP3,MDEC-22,PetitjeanNumber,khs.aaN,VCH-3,SCH-6,Kier1,MDEC-23,VCH-4,SCH-7,Kier2,MDEC-24,khs.aaCH,khs.aaO,Kier3,fragC,VCH-5,khs.sssN,khs.ssO,khs.sCl,VCH-6,VCH-7,geomShape,khs.sssCH,MDEO-11,khs.ssS,MDEO-12,C2SP1,MDEN-33,C2SP2,C2SP3,khs.sOH,khs.tsC,WPOL,ATSm1,C1SP1,MDEC-33,ATSm2,MDEC-34,C1SP2,ATSp1,khs.sNH2,ATSm3,C1SP3,ATSp2,khs.tN,SP-0,ATSm4,khs.aaaC
InChI%3D1S%2FC12H19N%2Fc1-8%282%2910-6-5-7-11%289%283%294%2912%2810%2913%2Fh5-9H%2C13H2%2C1-4H3,1.13128232955933,1260.35021972656,6.03658103942871,16.8309268951416,4.0,0.0,1231.07763671875,5.60576343536377,0.429300367832184,890.813903808594,0.0,4.13821697235107,0.0,,0.0,0.0,3.31346035003662,0.0,0.0,1.93341875076294,8.96410179138184,1.39779186248779,1.08348917961121,4.91944360733032,0.0,1.62147402763367,1.0,0.816185712814331,1.44224953651428,0.54997193813324,1.6768753528595,0.0,3.06523776054382,0.0,0.0,4.15954303741455,0.214779183268547,7.67703914642334,2.4175922870636,4.70043992996216,0.0,0.0,1.60858237743378,0.859116733074188,3.0,0.473373651504517,0.0,0.191298648715019,62.0,0.0,0.015455124899745,0.0,,-0.00742755923420191,26.0200004577637,,2.51677393913269,0.00429212581366301,0.0,3.77983808517456,0.0,-0.00341051910072565,0.0,0.0,,2.0,4.35032272338867,0.0,-0.00165036402177066,2.0,234.0,0.0,0.0,,0.0,0.0,119.0,0.0,2.38110160827637,0.5,0.0,0.0,0.0680413842201233,11.0769233703613,6.5518536567688,0.0,0.146608799695969,4.48148155212402,0.0,3.0,,2.47933888435364,868.010009765625,0.0,0.0,,,0.0240562614053488,0.0416666679084301,0.574114501476288,2.0,0.0,,0.0,0.0,0.0,4.0,0.0,,0.0,19.0,13.3599882125854,0.0,5.67623996734619,13.1661853790283,0.0,0.0,847.81689453125,1.0,18.3323707580566,4.0,948.015991210938,0.0,10.0080718994141,19.6647415161133,0.0
InChI%3D1S%2FC10H8%2Fc1-2-6-10-8-4-3-7-9%2810%295-1%2Fh1-8H,0.333333343267441,835.183166503906,4.96632671356201,6.0,0.0,0.0,681.418579101562,4.08907318115234,0.0833333358168602,303.666290283203,0.0,3.46632647514343,0.0,0.0,0.0,0.0,2.85758924484253,0.0,0.0,2.31649661064148,5.61880207061768,0.38490018248558,1.14011943340302,3.40470051765442,0.0,0.5,0.666666686534882,0.16666667163372,0.0,0.70412415266037,0.513200223445892,0.0,0.0,0.0,0.0,2.34715056419373,0.0277777779847383,0.0,1.65868926048279,4.32192802429199,0.0,0.0,1.13290584087372,0.756600141525269,0.0,0.303561210632324,0.0,0.153877794742584,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.942809045314789,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,1.88561809062958,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,11.6786317825317,0.400000005960464,0.0,0.0,0.16666667163372,6.69421482086182,8.59655952453613,0.0,0.235702261328697,2.93877553939819,0.0,8.0,0.0,1.38271605968475,271.0,0.0,0.0,0.0,0.0,0.0555555559694767,0.0641500279307365,0.846294403076172,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,10.0,0.0,1.0,11.0,0.0,0.0,575.871765136719,0.0,14.0,0.0,650.17529296875,0.0,6.81155490875244,12.0,2.0
InChI%3D1S%2FC14H9Cl5O%2Fc15-11-5-1-9%282-6-11%2913%2820%2C14%2817%2C18%2919%2910-3-7-12%2816%298-4-10%2Fh1-8%2C20H,2.65470051765442,3077.27563476562,9.24803733825684,60.6526908874512,0.0,0.333333343267441,3252.53540039062,9.4462833404541,1.51036298274994,2800.99780273438,0.0,7.34388542175293,0.705341815948486,,0.0,0.0,5.27759647369385,0.0,0.0,4.07032012939453,13.7354831695557,3.2610764503479,2.62091851234436,7.45107460021973,0.0,4.27517080307007,1.0,2.46805334091187,0.0,1.85684418678284,5.03488159179688,0.392416596412659,0.0,0.0,0.0,7.37605953216553,0.788515388965607,0.0,4.25868463516235,5.32192802429199,0.380554795265198,0.0,2.78280520439148,1.83735752105713,4.0,1.0295535326004,1.0,0.785712778568268,106.0,0.0,0.276212781667709,0.0,,-0.0928479954600334,20.2299995422363,,5.67183017730713,-0.105688974261284,0.0,8.12655830383301,0.0,0.0800458118319511,2.0,0.0,,2.0,11.0436019897461,0.0,0.043412908911705,1.0,744.0,0.0,0.0,,0.0,0.0,301.0,0.0,8.69190216064453,0.5,0.0,0.0,0.16666667163372,16.3718814849854,12.3619976043701,0.0,0.25,6.01171875,5.49271249771118,8.0,,3.27662110328674,520.059997558594,0.0,0.0,,,0.0555555559694767,0.0907718539237976,0.652080416679382,0.0,0.0,,0.0,0.0,0.0,10.0,0.0,1.0,0.0,35.0,59.3382377624512,0.0,1.53261888027191,31.0907783508301,3.18108296394348,0.0,1788.92126464844,0.0,69.7966995239258,1.0,2118.89111328125,0.0,14.9662551879883,64.6417007446289,0.0
InChI%3D1S%2FC8H17Br%2Fc1-2-3-4-5-6-7-8-9%2Fh2-8H2%2C1H3,0.0,366.785461425781,4.41421365737915,10.6526756286621,1.0,0.0,310.006652832031,2.76776695251465,0.0,252.537536621094,0.0,1.70710682868958,0.0,0.0,0.0,0.0,1.03033006191254,7.0,0.0,0.603553414344788,7.91370868682861,0.0,0.338388353586197,5.09583711624146,0.0,0.0,1.0,0.0,0.0,0.176776692271233,0.0,0.0,2.07099652290344,0.0,0.0,3.24974751472473,0.0,0.0,2.04791855812073,4.16992521286011,0.0,0.0,1.27132034301758,0.773959219455719,0.0,0.458883464336395,0.0,0.261979609727859,30.0,0.0,0.0292395427823067,0.0,0.0,-0.011964843608439,0.0,0.0,0.0,-0.0024591232649982,0.0,0.0,0.0,-0.000189749858691357,0.0,0.0,1.0,0.0,0.0,0.0,-5.97926509726676e-06,0.0,120.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,9.33325862884521,0.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,553.010009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.747771799564362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,52.2580909729004,0.0,0.0,13.6526756286621,0.0,0.0,458.41357421875,0.0,12.6526756286621,2.0,421.990631103516,0.0,6.94974756240845,11.6526756286621,0.0
InChI%3D1S%2FC7H5NO4%2Fc9-4-5-3-6%2810%291-2-7%285%298%2811%2912%2Fh1-4%2C10H,0.924757897853851,703.291687011719,5.64706563949585,17.0405712127686,0.0,0.0,630.570190429688,4.99442386627197,0.20412415266037,384.719879150391,0.0,3.68409848213196,0.0,,0.0,0.0,2.86921977996826,0.0,0.0,2.07458186149597,5.92857313156128,0.446027129888535,1.12707018852234,3.07477331161499,0.0,0.499379187822342,1.0,0.259686440229416,0.0,0.349179059267044,0.447219699621201,0.0,0.0,0.0,0.0,2.118079662323,0.0322748608887196,0.0,1.33477747440338,4.58496236801147,0.0,0.0,0.802576720714569,0.437486439943314,3.0,0.160906478762627,0.0,0.0395117923617363,56.0,0.0,0.254011958837509,,,-0.0572173036634922,71.4400024414062,,1.83675169944763,0.0199058409780264,0.0,2.6833279132843,0.0,-0.0163180157542229,0.0,0.0,,1.0,3.34901905059814,0.0,-0.195209011435509,0.0,191.0,0.0,,,1.0,0.0,108.0,0.0,2.62074136734009,0.5,,0.0,0.0680413842201233,10.0833330154419,7.48569059371948,0.0,0.155437618494034,4.296875,0.0,3.0,,2.49307489395142,157.050003051758,0.0,,,,0.0240562614053488,0.0354054644703865,0.593384027481079,0.0,1.31556057929993,,0.0,0.0,0.0,5.0,0.0,,0.0,16.0,15.4578638076782,0.0,1.65096366405487,13.9373016357422,0.0,1.0,481.136322021484,0.0,18.7672996520996,0.0,542.975708007812,,9.13782787322998,19.1552925109863,0.0
InChI%3D1S%2FC12H12N2O3%2Fc1-2-12%288-6-4-3-5-7-8%299%2815%2913-11%2817%2914-10%2812%2916%2Fh3-7H%2C2H2%2C1H3%2C%28H2%2C13%2C14%2C15%2C16%2C17%29,1.29103946685791,1854.34838867188,8.10822582244873,35.7520942687988,1.0,0.0680413842201233,2014.71813964844,7.17953109741211,0.635379731655121,1560.09875488281,0.0,6.324462890625,0.130245730280876,,0.0,0.0,5.65824890136719,1.0,0.0,3.53914260864258,9.29096126556396,1.46950852870941,2.31121063232422,5.26710891723633,0.0,2.1247763633728,1.0,0.551823198795319,0.0,1.17533838748932,1.86323297023773,0.0441941730678082,1.63976919651031,3.0,0.0,3.77830338478088,0.175469577312469,1.17348229885101,2.96345019340515,5.08746290206909,0.0324090607464314,0.5,1.9982715845108,1.08343553543091,1.0,0.519090533256531,0.0,0.242734625935555,88.0,0.0,0.415953427553177,,,-0.294875830411911,82.25,,3.75820827484131,0.26962611079216,0.5,7.24003458023071,0.0,-0.326041221618652,1.0,0.0,,1.0,8.61607551574707,0.0,0.146636709570885,0.0,458.0,0.0,,,0.0,0.0,210.0,1.0,6.94562911987305,0.5,,0.0,0.150174587965012,13.4320983886719,7.5181999206543,0.0,0.25716707110405,5.32544374465942,2.62074136734009,5.0,,2.29072308540344,628.049987792969,0.0,,,,0.0445750132203102,0.0474097840487957,0.65050858259201,0.0,0.75,,0.0,0.0,0.0,5.0,1.0,,0.0,31.0,20.0433826446533,0.0,2.67269611358643,19.6610164642334,3.03934264183044,2.0,1080.85302734375,0.0,29.570405960083,1.0,1282.33203125,,12.4662551879883,35.3180313110352,0.0
InChI%3D1S%2FC9H10O%2Fc1-2-5-8-6-3-4-7-9%288%2910%2Fh2-4%2C6-7%2C10H%2C1%2C5H2,0.402368932962418,637.192199707031,4.8425350189209,7.66418409347534,0.0,0.0,541.065551757812,3.81049561500549,0.117851130664349,300.1474609375,0.0,2.94858479499817,0.0,,0.0,1.0,2.19270539283752,1.0,0.0,1.5618349313736,5.74817848205566,0.342599391937256,0.601007580757141,3.22100710868835,0.0,0.38172909617424,1.0,0.166611790657043,0.0,0.27335324883461,0.344208955764771,0.0,1.84057867527008,0.0,0.0,2.12151169776917,0.0263523142784834,0.577350258827209,1.35586738586426,4.32192802429199,0.0,0.0,0.838941693305969,0.481691300868988,2.0,0.1582852602005,0.0,0.0613909624516964,44.0,,0.0568943209946156,,,-0.0203997883945704,20.2299995422363,,1.02022004127502,-4.73992258775979e-05,0.0,1.35947573184967,0.0,-0.0117712048813701,0.0,0.0,,1.0,1.58925569057465,0.0,0.00307098194025457,0.0,121.0,0.0,,,1.0,,90.0,0.0,6.63197565078735,0.5,,0.0,0.0833333358168602,8.10000038146973,6.4474196434021,0.0,0.142258897423744,4.0,0.0,4.0,,2.28571438789368,310.010009765625,0.0,,,,0.0277777779847383,0.0320644564926624,0.753799796104431,0.0,0.0,,0.0,0.0,0.0,6.0,1.0,,0.0,11.0,10.7744693756104,0.0,1.0,10.3320922851562,0.0,1.0,500.467834472656,0.0,12.6641836166382,0.0,534.588684082031,,7.39734125137329,11.9962759017944,0.0
InChI%3D1S%2FC9H10O3%2Fc1-2-12-9-5-7%286-10%293-4-8%289%2911%2Fh3-6%2C11H%2C2H2%2C1H3,0.606493055820465,740.329162597656,5.77438688278198,12.9925518035889,1.0,0.0,674.451782226562,4.61336469650269,0.117851130664349,434.857788085938,0.0,3.70789361000061,0.0,,0.0,0.0,2.6565580368042,1.0,0.0,2.108154296875,6.78021812438965,0.375342160463333,1.16717576980591,3.68592405319214,0.0,0.423247992992401,0.75,0.219700336456299,0.0,0.484883576631546,0.444397449493408,0.0,1.34123075008392,0.0,0.0,2.27802586555481,0.0152145158499479,0.766309440135956,1.41978800296783,4.58496236801147,0.0,0.0,0.875136196613312,0.547721326351166,3.0,0.222697079181671,0.0,0.0763129368424416,54.0,0.0,0.343913793563843,,,-0.139459997415543,46.5299987792969,,1.46490681171417,-0.0706979557871819,0.0,1.89699304103851,0.0,0.0953141078352928,0.0,0.0,,1.0,2.52574181556702,0.0,-0.104221865534782,0.0,202.0,0.0,,,1.0,0.0,126.0,0.0,3.68599390983582,0.428571432828903,,0.0,0.0680413842201233,10.0833330154419,7.9441785812378,0.0,0.164266422390938,4.88888883590698,0.0,3.0,,2.77777767181396,352.029998779297,0.0,,,,0.0240562614053488,0.0344681032001972,0.797283291816711,0.0,0.16666667163372,,0.516397774219513,0.0,0.0,5.0,0.0,,0.0,15.0,14.3234071731567,0.0,1.65096366405487,13.3283681869507,0.0,1.0,538.579895019531,0.0,16.9925518035889,2.0,590.96435546875,,8.97469139099121,17.7670211791992,0.0
InChI%3D1S%2FC6H12O%2Fc7-6-4-2-1-3-5-6%2Fh6-7H%2C1-5H2,0.288675129413605,337.466003417969,3.3938467502594,1.33209192752838,0.0,0.0,199.294494628906,2.74318218231201,0.0,30.8566970825195,0.0,1.89384686946869,0.0,0.0,0.0,0.0,1.30671286582947,5.0,0.0,0.901047587394714,4.56009769439697,0.182574182748795,0.20412415266037,3.0746955871582,0.0,0.193649172782898,0.333333343267441,0.129099443554878,0.0,0.0,0.182574182748795,0.0,0.0,0.0,0.0,2.29183387756348,0.0,0.0,1.57469546794891,3.80735492706299,0.0,0.0,1.0810387134552,0.741471886634827,0.0,0.0912870913743973,0.0,0.0,30.0,0.0,0.0754449218511581,0.0,0.0,-0.023737970739603,20.2299995422363,0.0,0.40824830532074,-0.0129378978163004,0.0,0.433012694120407,0.0,-0.00100534723605961,0.0,0.0,0.0,0.0,0.40824830532074,0.0,-4.12444060202688e-05,0.0,42.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,6.08364343643188,0.25,0.0,0.0,0.102062076330185,5.14285707473755,3.04182171821594,0.0,0.102062076330185,2.34375,0.0,0.0,0.0,1.5,319.010009765625,0.0,0.0,0.0,0.0,0.102062076330185,0.0456435456871986,0.478681206703186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,5.0,7.77446889877319,0.0,0.0,7.33209180831909,0.0,0.0,296.036651611328,0.0,8.66418361663818,0.0,306.966735839844,0.0,5.11288404464722,5.66418409347534,0.0
InChI%3D1S%2FC7H5ClO%2Fc8-7-3-1-6%285-9%292-4-7%2Fh1-5H,0.492799282073975,565.161804199219,4.3256983757019,6.61592149734497,0.0,0.0,414.021270751953,3.53414583206177,0.0,154.834548950195,0.0,2.7127788066864,0.0,,0.0,0.0,1.73736357688904,0.0,0.0,1.37377345561981,5.42889308929443,0.368612706661224,0.686886727809906,2.91269135475159,0.0,0.305094510316849,1.0,0.285207271575928,0.0,0.117851130664349,0.338806807994843,0.0,0.0,0.0,0.0,2.10583806037903,0.0,0.0,1.25806415081024,4.16992521286011,0.0,0.0,0.66733592748642,0.479723811149597,2.0,0.162293091416359,0.0,0.0130945695564151,40.0,0.0,0.162755757570267,,,-0.0641821697354317,17.0699996948242,,0.901047587394714,-0.011807625181973,0.0,0.937443673610687,0.0,0.00860602036118507,0.0,0.0,,1.0,1.06903564929962,0.0,0.00501632550731301,0.0,90.0,0.0,,,1.0,0.0,77.0,0.0,4.88359355926514,0.5,,0.0,0.0833333358168602,7.11111116409302,6.59753942489624,0.0,0.142258897423744,3.23966932296753,0.0,4.0,,2.0,124.019996643066,0.0,,,,0.0277777779847383,0.0475345477461815,0.699293315410614,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,,0.0,9.0,17.4872226715088,0.0,0.333333343267441,11.2838296890259,0.0,1.0,442.905914306641,0.0,15.2355670928955,0.0,476.026092529297,,6.69023466110229,13.5676584243774,0.0
