SMILES,VP-3,khs.ssssC,khs.ssO,ATSm5,ATSc1,MDEO-22,VP-4,ATSc2,VP-5,C1SP2,khs.aasC,ATSc3,khs.ssCH2,Kier1,C2SP2,ATSc4,khs.ssS,ATSp1,Kier2,C1SP3,VP-6,C2SP3,ATSc5,khs.sCl,ATSp2,MDEN-33,Kier3,VP-7,WPATH,MDEC-12,ATSp3,MDEC-33,SCH-5,MDEC-13,SCH-6,SPC-4,SP-0,ATSp5,SCH-7,khs.ddsN,SPC-5,Zagreb,SPC-6,khs.dO,khs.dsN,khs.sssN,SP-2,MDEO-11,SP-3,VPC-4,MDEO-12,VC-3,VPC-5,SP-4,ECCEN,khs.sssCH,VC-4,VCH-5,SP-5,VPC-6,VCH-6,fragC,SP-6,khs.aaCH,MDEN-22,VC-5,MDEC-22,VCH-7,SP-7,TopoPSA,ATSm1,MDEN-23,WPOL,ATSm2,MDEC-23,VP-0,SC-3,ATSm3,VP-1,SC-4,VP-2,khs.sOH,ATSm4,SC-5
InChI%3D1S%2FC10H8%2Fc1-2-6-10-8-4-3-7-9%2810%295-1%2Fh1-8H,1.65868926048279,0.0,0.0,6.0,0.0,0.0,1.13290584087372,0.0,0.756600141525269,0.0,0.0,0.0,0.0,6.69421482086182,8.0,0.0,0.0,575.871765136719,2.93877553939819,0.0,0.303561210632324,0.0,0.0,0.0,650.17529296875,0.0,1.38271605968475,0.153877794742584,109.0,0.0,835.183166503906,1.0,0.0,0.0,0.16666667163372,0.942809045314789,6.81155490875244,303.666290283203,0.235702261328697,0.0,1.5,50.0,1.88561809062958,0.0,0.0,0.0,4.08907318115234,0.0,3.46632647514343,0.38490018248558,0.0,0.16666667163372,0.5,2.85758924484253,90.0,0.0,0.0,0.0,2.31649661064148,0.513200223445892,0.0555555559694767,271.0,1.14011943340302,8.0,0.0,0.0277777779847383,11.6786317825317,0.0641500279307365,0.70412415266037,0.0,10.0,0.0,12.0,11.0,8.59655952453613,5.61880207061768,0.333333343267441,14.0,3.40470051765442,0.0,2.34715056419373,0.0,12.0,0.0833333358168602
InChI%3D1S%2FC9H7N3O4S%2Fc1-5%2813%2910-9-11-6%284-17-9%297-2-3-8%2816-7%2912%2814%2915%2Fh2-4H%2C1H3%2C%28H%2C10%2C11%2C13%29,2.50821900367737,0.0,0.0,31.497220993042,0.487411707639694,0.0,1.85244131088257,-0.289541035890579,0.960562527179718,1.0,4.0,0.0506628677248955,0.0,13.4320983886719,0.0,0.0501368045806885,0.0,964.811218261719,5.76000022888184,3.0,0.578781843185425,4.0,-0.079084500670433,0.0,1113.06127929688,0.0,3.48444437980652,0.337810784578323,564.0,0.458566069602966,1510.98107910156,3.38654565811157,0.235702261328697,1.34123075008392,0.287457466125488,2.53411293029785,12.4138488769531,1108.84631347656,0.464041620492935,1.0,3.46912670135498,86.0,3.8432080745697,2.0,1.0,0.0,7.64593553543091,0.512992799282074,5.50974941253662,0.678539156913757,0.75394743680954,0.435922205448151,0.961624503135681,4.50890254974365,270.0,0.0,0.0,0.113077633082867,2.92683410644531,0.836791634559631,0.107108667492867,353.079986572266,2.2708842754364,3.0,0.5,0.0239986199885607,1.31037068367004,0.111772589385509,1.42817711830139,132.679992675781,27.3055934906006,0.338061690330505,20.0,24.2737045288086,5.87101554870605,9.4703950881958,1.44570577144623,35.7953948974609,5.38387537002563,0.0,3.9058837890625,1.0,27.7674541473389,0.25
InChI%3D1S%2FC11H13N5O4%2Fc1-15%282%297-12-11-14-13-9%2820-11%295-3-8-4-6-10%2819-8%2916%2817%2918%2Fh3-6H%2C7H2%2C1-2H3%2C%28H%2C12%2C14%29,2.28494334220886,0.0,1.0,23.7369327545166,0.573145031929016,0.200000002980232,1.39404094219208,-0.437883675098419,0.774913728237152,1.0,2.0,0.233544304966927,1.0,16.3718814849854,5.0,-0.115356504917145,0.0,948.643920898438,7.85204076766968,1.0,0.418258160352707,0.0,0.0390556156635284,0.0,1058.93017578125,0.090909093618393,5.37890625,0.229227945208549,994.0,1.5201199054718,1366.640625,1.67667174339294,0.235702261328697,1.14585161209106,0.318041384220123,2.52706789970398,14.5351696014404,979.227478027344,0.419897556304932,1.0,2.96062827110291,98.0,3.2269389629364,2.0,1.0,1.0,8.77682495117188,0.5,6.30985593795776,0.579329073429108,0.81649661064148,0.587926506996155,0.566222429275513,4.72464942932129,416.0,1.0,0.0,0.0634834766387939,3.35837769508362,0.466391086578369,0.0650428757071495,916.090026855469,2.2778594493866,2.0,1.65096366405487,0.00878410506993532,3.02566862106323,0.0592920705676079,1.40636730194092,,24.8978157043457,1.15010142326355,22.0,25.1247692108154,7.10510301589966,11.06849193573,1.5206207036972,34.3656005859375,5.84202003479004,0.0,4.28437471389771,0.0,27.0650539398193,0.16666667163372
InChI%3D1S%2FC12H5Cl5%2Fc13-8-3-1-2-6%2810%288%2915%297-4-5-9%2814%2912%2817%2911%287%2916%2Fh1-5H,4.38945341110229,0.0,0.0,51.1818656921387,0.142714470624924,0.0,2.48529291152954,-0.0231912191957235,1.57658743858337,0.0,7.0,-0.0690544322133064,0.0,13.4320983886719,10.0,0.0268668755888939,0.0,1508.69165039062,5.32544374465942,0.0,0.923287570476532,0.0,0.0075004892423749,5.0,1767.8701171875,0.0,2.55999994277954,0.493792295455933,484.0,0.0,2472.03686523438,9.33325862884521,0.0,0.0,0.12359693646431,3.80681467056274,12.5769853591919,1869.2861328125,0.374108165502548,0.0,5.32990312576294,88.0,7.59777164459229,0.0,0.0,0.0,7.36788129806519,0.0,6.67738246917725,2.45212435722351,0.0,0.89687442779541,2.89048099517822,4.72052145004272,220.0,0.0,0.0,0.0,3.54300498962402,3.57990097999573,0.0448895953595638,257.049987792969,2.27921915054321,5.0,0.0,0.368599057197571,3.83851957321167,0.147867605090141,1.38600671291351,0.0,55.5637664794922,0.0,29.0,27.7586860656738,12.614465713501,12.0562181472778,1.32092034816742,45.5173721313477,6.48943424224854,0.0,5.27258253097534,0.0,75.5591125488281,0.595967054367065
InChI%3D1S%2FC3H6O2%2Fc4-1-3-2-5-3%2Fh3-4H%2C1-2H2,0.439337313175201,0.0,1.0,0.0,0.277053087949753,0.0,0.105409257113934,-0.100388512015343,0.0,0.0,0.0,-0.0761098116636276,2.0,3.20000004768372,0.0,0.0379717871546745,0.0,108.833946228027,1.0,2.0,0.0,1.0,0.0,0.0,114.96305847168,0.0,0.639999985694885,0.0,17.0,0.0,65.0820922851562,0.0,0.0,0.0,0.0,0.20412415266037,3.69867062568665,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.85162401199341,0.0,0.98559856414795,0.0527046285569668,0.333333343267441,0.117851130664349,0.0,0.40824830532074,25.0,1.0,0.0,0.0,0.0,0.0,0.0,101.019996643066,0.0,0.0,0.0,0.0,0.5,0.0,0.0,32.7599983215332,6.54893827438354,0.0,2.0,5.99627590179443,2.0,2.84702563285828,0.20412415266037,3.66418385505676,1.65710175037384,0.0,1.13791596889496,1.0,3.10656094551086,0.0
InChI%3D1S%2FC12H12N2O3%2Fc1-2-12%288-6-4-3-5-7-8%299%2815%2913-11%2817%2914-10%2812%2916%2Fh3-7H%2C2H2%2C1H3%2C%28H2%2C13%2C14%2C15%2C16%2C17%29,2.96345019340515,1.0,,35.7520942687988,0.415953427553177,0.0,1.9982715845108,-0.294875830411911,1.08343553543091,2.0,1.0,0.26962611079216,1.0,13.4320983886719,5.0,-0.326041221618652,,1080.85302734375,5.32544374465942,1.0,0.519090533256531,1.0,0.146636709570885,,1282.33203125,0.0,2.29072308540344,0.242734625935555,458.0,1.63976919651031,1854.34838867188,2.67269611358643,0.0,1.17348229885101,0.150174587965012,3.75820827484131,12.4662551879883,1560.09875488281,0.25716707110405,,7.24003458023071,88.0,8.61607551574707,,,,7.17953109741211,0.75,6.324462890625,1.46950852870941,0.0,0.551823198795319,2.1247763633728,5.65824890136719,210.0,0.0,0.0441941730678082,0.0,3.53914260864258,1.86323297023773,0.0445750132203102,628.049987792969,2.31121063232422,5.0,0.5,0.175469577312469,6.94562911987305,0.0474097840487957,1.17533838748932,82.25,20.0433826446533,0.0,31.0,19.6610164642334,7.5181999206543,9.29096126556396,1.29103946685791,29.570405960083,5.26710891723633,0.0680413842201233,3.77830338478088,,35.3180313110352,0.635379731655121
InChI%3D1S%2FC9H8N4O5%2Fc1-5%2814%2910-4-7-11-9%2812-18-7%296-2-3-8%2817-6%2913%2815%2916%2Fh2-3H%2C4H2%2C1H3%2C%28H%2C10%2C14%29,1.90337264537811,0.0,0.0,24.9544887542725,0.610772609710693,0.25,1.14719223976135,-0.278917700052261,0.619544267654419,1.0,4.0,-0.194182813167572,1.0,14.4099721908569,0.0,0.37240868806839,0.0,719.282958984375,6.43787002563477,5.0,0.331766486167908,3.0,-0.220335140824318,0.0,819.378356933594,0.0,3.99583768844604,0.164282515645027,685.0,0.5,1095.91516113281,3.08133912086487,0.235702261328697,1.15627098083496,0.287457466125488,2.61357235908508,13.1209554672241,805.118530273438,0.474854648113251,1.0,3.18411183357239,90.0,3.75722193717957,2.0,1.0,0.0,7.98758363723755,0.481411129236221,5.85727643966675,0.508146584033966,1.17598414421082,0.363447725772858,0.526633381843567,4.45938396453857,313.0,0.0,0.0,0.0544331036508083,3.16453075408936,0.457096070051193,0.0568648241460323,423.089996337891,2.37397837638855,2.0,1.04004192352295,0.0205692183226347,0.965489387512207,0.0589754469692707,1.44624304771423,130.470001220703,23.3122978210449,0.512992799282074,21.0,22.9858779907227,5.45638656616211,9.23086833953857,1.44570577144623,32.6148872375488,4.83220052719116,0.0,3.27015781402588,1.0,26.7286186218262,0.25
InChI%3D1S%2FC8H12N2O3%2Fc1-3-8%284-2%295%2811%299-7%2813%2910-6%288%2912%2Fh3-4H2%2C1-2H3%2C%28H2%2C9%2C10%2C11%2C12%2C13%29,2.46625971794128,1.0,0.0,22.7555408477783,0.408514112234116,0.0,1.40266084671021,-0.299251973628998,0.438556730747223,2.0,0.0,0.287440985441208,2.0,11.0769233703613,0.0,-0.339137047529221,0.0,692.318664550781,4.02216053009033,2.0,0.218388840556145,2.0,0.154155761003494,0.0,795.164123535156,0.0,1.77514791488647,0.0511667281389236,220.0,2.30940103530884,1123.52844238281,1.5,0.0,1.68686532974243,0.0481125228106976,3.49267768859863,10.0604782104492,653.085571289062,0.212378948926926,0.0,5.97511339187622,64.0,5.40539932250977,1.0,2.0,0.0,5.31894159317017,0.75,4.79122352600098,1.49885749816895,0.0,0.567601501941681,1.90012729167938,3.9022970199585,111.0,0.0,0.0625,0.0,1.65565967559814,0.969131648540497,0.0125000001862645,469.049987792969,1.22610127925873,0.0,0.5,0.120710678398609,0.5,0.0339611135423183,0.272165536880493,,16.0433826446533,0.0,23.0,14.6610174179077,2.38110160827637,7.61131620407104,1.22130084037781,22.570405960083,4.16708517074585,0.0833333358168602,2.94260811805725,2.0,27.3180313110352,0.537457466125488
InChI%3D1S%2FC4H9N3O%2Fc8-6-7-3-1-5-2-4-7%2Fh5H%2C1-4H2,1.20885801315308,0.0,0.0,4.02417182922363,0.134822562336922,0.0,0.734680831432343,-0.061790119856596,0.446945697069168,0.0,0.0,-0.030154749751091,4.0,6.125,0.0,0.0311528146266937,,299.339477539062,3.11111116409302,4.0,0.0788675099611282,0.0,-0.0345791764557362,,315.014465332031,0.0,1.79999995231628,0.020412415266037,64.0,0.0,353.282562255859,0.0,0.0,0.0,0.102062076330185,0.492799282073975,5.81999111175537,72.6786575317383,0.0721687823534012,0.0,0.594861328601837,34.0,0.492799282073975,1.0,1.0,1.0,2.91228413581848,0.0,2.30209517478943,0.182246178388596,0.0,0.100000001490116,0.178445711731911,1.59538793563843,60.0,0.0,0.0,0.0,1.10517168045044,0.128867506980896,0.0559016987681389,233.039993286133,0.348461717367172,0.0,0.25,0.0,3.30192732810974,0.025000000372529,0.144337564706802,44.7000007629395,9.85443305969238,1.15470051765442,7.0,9.5781946182251,0.0,4.63110256195068,0.20412415266037,10.5505771636963,2.72213649749756,0.0,1.78531277179718,0.0,8.35654258728027,0.0
InChI%3D1S%2FC6H7ClN2%2Fc7-4-1-2-5%288%296%289%293-4%2Fh1-3H%2C8-9H2,1.28393113613129,0.0,0.0,8.72638034820557,0.0605827607214451,0.0,0.726155757904053,-0.0120040671899915,0.444296807050705,0.0,3.0,-0.0129032032564282,0.0,7.11111116409302,6.0,-0.00937795545905828,0.0,496.256896972656,2.72222232818604,0.0,0.13738726079464,0.0,-0.00886305514723063,1.0,538.678894042969,0.0,1.70414197444916,0.00801875349134207,84.0,0.0,672.976928710938,1.65096366405487,0.0,0.0,0.0680413842201233,1.47827804088593,6.85337114334106,180.876937866211,0.20412415266037,0.0,1.55802857875824,42.0,2.07593297958374,0.0,0.0,0.0,3.87279200553894,0.0,2.86036610603333,0.48582935333252,0.0,0.355648905038834,0.461769163608551,1.81676292419434,67.0,0.0,0.0,0.0,1.33160018920898,0.50458174943924,0.0240562614053488,184.029998779297,0.504473328590393,3.0,0.0,0.0277777779847383,1.65096366405487,0.0550550147891045,0.0680413842201233,52.0400009155273,17.4327297210693,0.0,10.0,11.2841081619263,5.85380077362061,5.5206446647644,0.760079681873322,16.5682163238525,2.88233089447021,0.0,2.20967483520508,0.0,14.9282035827637,0.16666667163372
